t,C_PH2M,C_WH2M,C_RIC,C_total,Y,pi,r,C_PH2M_pct,C_WH2M_pct,C_RIC_pct
87,0.00011850424822341379,6.991204139909475e-05,-0.00018836654826406406,4.974135844663626e-08,4.9741358446620194e-08,-6.181337440211151e-07,-3.179174235132422e-07,0.05893052133149458,0.029613520399092503,-0.0334679275243392
88,0.00011553592914070583,6.831310359092552e-05,-0.00018380961510308397,3.9417628549409276e-08,3.941762854939218e-08,-6.082223388522917e-07,-3.159371654016612e-07,0.057454417363538755,0.028936238253534773,-0.032658276818465774
89,0.00011265219257175626,6.67619093036153e-05,-0.0001793876958476185,2.640602775395612e-08,2.6406027753939004e-08,-5.954112903342676e-07,-3.139451614340779e-07,0.056020375108188476,0.02827917943003413,-0.03187261463733936
90,0.0001098498796402443,6.525763084933175e-05,-0.0001750964947515954,1.1015737981796944e-08,1.1015737981788947e-08,-5.787724069169855e-07,-3.1145066650893655e-07,0.054626823700000555,0.027641993334472374,-0.031110177736532886
91,0.00010712670308088239,6.379900522301008e-05,-0.00017093188249788882,-6.174193996466419e-09,-6.174193996484999e-09,-5.574765711467273e-07,-3.0789465634439125e-07,0.053272625713626634,0.027024144979950218,-0.03037023244179492
92,0.00010448137828803817,6.238422311003941e-05,-0.00016688989151712958,-2.4290119052661067e-08,-2.4290119052682514e-08,-5.308846270936508e-07,-3.026758064709335e-07,0.051957142332477786,0.026424867972380667,-0.029652073817321725
93,0.00010191372354996498,6.10108331345323e-05,-0.0001629667127468512,-4.2156062354734285e-08,-4.215606235476099e-08,-4.986470143336308e-07,-2.9518669122115056e-07,0.05068028319381917,0.02584312395172737,-0.028955025089940276
94,9.942471294019752e-05,5.967567196285713e-05,-0.0001591586929935529,-5.830809049805818e-08,-5.8308090498090436e-08,-4.608064943435274e-07,-2.848599946753823e-07,0.04944253269092845,0.025277572985081005,-0.028278437180414125
95,9.701646487033895e-05,5.837483113336117e-05,-0.00015546233141840952,-7.103541470789568e-08,-7.10354147079263e-08,-4.178965863774762e-07,-2.7122367219905443e-07,0.0482449442805554,0.024726559516308946,-0.027621688079043815
96,9.469215008071593e-05,5.710367118546048e-05,-0.00015187427322770368,-7.845196152619623e-08,-7.845196152621355e-08,-3.71026736426793e-07,-2.5396300945247625e-07,0.047089094727949025,0.024188118350891137,-0.0269841817246177
97,9.245580511977735e-05,5.585689307293913e-05,-0.00014839129888352654,-7.860069080955443e-08,-7.860069080954756e-08,-3.219439476127555e-07,-2.3298643728600238e-07,0.04597699135274586,0.023660004905347105,-0.026365346087428868
98,9.031204136287954e-05,5.4628676302620385e-05,-0.00014501030859232172,-6.959092682073644e-08,-6.959092682076962e-08,-2.7305978451284065e-07,-2.0849083798137092e-07,0.04491092732804206,0.02313975372036579,-0.025764630413285337
99,8.826564548605807e-05,5.341289281148888e-05,-0.0001417283047023348,-4.97664047868551e-08,-4.976640478688631e-08,-2.2743151873780944e-07,-1.8102100043611227e-07,0.04389328300153358,0.022624769055421236,-0.025181502095986137
100,8.632107508808385e-05,5.220340455585151e-05,-0.00013854237832696694,-1.7898683030631102e-08,-1.7898683030661278e-08,-1.886868955490187e-07,-1.5151694807879523e-07,0.042926275075350455,0.0221124509423466,-0.024615444300632706
101,8.448186274632053e-05,5.0994449158272e-05,-0.0001354497090492394,2.660285535345644e-08,2.660285535344109e-08,-1.6088373966753442e-07,-1.2134218495684734e-07,0.04201166025128868,0.02160035853864406,-0.024065955911119746
102,8.274995293228464e-05,4.978110757587875e-05,-0.00013244758369591815,8.347681224521718e-08,8.347681224521635e-08,-1.4829851314648334e-07,-9.228560378851986e-08,0.04115040548810204,0.021086408223616713,-0.02353255486581798
103,8.11250086349115e-05,4.8559816769360364e-05,-0.000129533418021869,1.5140738240263863e-07,1.514073824026467e-07,-1.5514206191157467e-07,-6.652999749819624e-08,0.04034234319485575,0.020569090756006266,-0.02301478201033056
104,7.96037377170246e-05,4.732878511886913e-05,-0.00012670466983891106,2.2785299698268203e-07,2.2785299698263806e-07,-1.8520613270765203e-07,-4.658092949589439e-08,0.03958583623732878,0.020047647236918546,-0.022512185662707705
105,7.817930229663483e-05,4.6088226291356486e-05,-0.00012395860077677725,3.0892781121431617e-07,3.089278112143097e-07,-2.414507037690658e-07,-3.515124177337282e-08,0.0388774842315141,0.01952216817194454,-0.022024279284450533
106,7.684088737740355e-05,4.484065380737351e-05,-0.00012129218173448754,3.8935945029029863e-07,3.8935945029028587e-07,-3.2554952730747765e-07,-3.499878070944774e-08,0.0382119090295226,0.018993718244515376,-0.02155052468163343
107,7.557351690032441e-05,4.359129829390677e-05,-0.00011870226905289654,4.625461413355485e-07,4.625461413355535e-07,-4.374192132489917e-07,-4.871798164588471e-08,0.03758166324463214,0.018464513056920255,-0.02109036330626893
108,7.435821749291426e-05,4.23482639628571e-05,-0.00011618574659143384,5.207348643371828e-07,5.207348643371658e-07,-5.747650570918749e-07,-7.848993749608676e-08,0.036977311681492264,0.01793798541185869,-0.020643241499717933
109,7.317264081786062e-05,4.112220080926385e-05,-0.00011373950345346486,5.553381736588933e-07,5.553381736588822e-07,-7.326842289533894e-07,-1.257999355396094e-07,0.036387740821486866,0.017418646461330217,-0.02020860653505485
110,7.199226638548902e-05,3.992543916085737e-05,-0.0001113603047935036,5.574007528425946e-07,5.574007528425768e-07,-9.033730595889275e-07,-1.9113641854317937e-07,0.03580075696471504,0.016911719116931487,-0.019785883662807053
111,7.079231784841352e-05,3.877052286737736e-05,-0.00010904462288140887,5.182178343817828e-07,5.182178343817694e-07,-1.0759891016447699e-06,-2.736905422303748e-07,0.03520403917677963,0.01642251673445525,-0.01937444609537462
112,6.955053265682553e-05,3.76681594557093e-05,-0.0001067885959864204,4.3009612611475946e-07,4.3009612611473225e-07,-1.2367196152675708e-06,-3.710804391232305e-07,0.03458651660000208,0.0159555748353868,-0.018973607701773084
113,6.825091626957899e-05,3.662443144106871e-05,-0.00010458811352425886,2.872341863888539e-07,2.8723418638885303e-07,-1.3691052556136667e-06,-4.791286410096098e-07,0.03394023537059835,0.015513469866999143,-0.01858263813609967
114,6.688853771315745e-05,3.563703127940429e-05,-0.00010243888509326338,8.66838992972049e-08,8.668389929719637e-08,-1.4546602641339046e-06,-5.917243179659185e-07,0.0332627433837338,0.01509522439391108,-0.018200775103492786
115,6.547506695075538e-05,3.469076111919532e-05,-0.0001003364894323895,-1.7066136244020232e-07,-1.70661362440217e-07,-1.4738178320683823e-06,-7.008034749721273e-07,0.032559843950473476,0.014694400871501912,-0.017827233058718608
116,6.40429717738433e-05,3.375436592637301e-05,-9.827645920262851e-05,-4.791215024125962e-07,-4.79121502412618e-07,-1.407211224335538e-06,-7.964794676453541e-07,0.031847682853829565,0.014297760212906943,-0.01746121826966521
117,6.263794488489943e-05,3.27890574690114e-05,-9.62544114854058e-05,-8.274091314949155e-07,-8.274091314949233e-07,-1.237277987594492e-06,-8.673524589708397e-07,0.031148982441890485,0.013888872400143625,-0.017101952003576944
118,6.126413378858221e-05,3.180406336778484e-05,-9.426621709841538e-05,-1.1980199420476582e-06,-1.1980199420476667e-06,-9.501471325635573e-07,-9.010191131653613e-07,0.03046580521127902,0.013471646092258465,-0.01674870061015643
119,5.991692277040905e-05,3.08243478876005e-05,-9.230816680192767e-05,-1.5668961439179883e-06,-1.5668961439179854e-06,-5.377400473870729e-07,-8.847919512213264e-07,0.02979585583111163,0.013056655716106735,-0.016400805052182967
