uf_code,date,credit_pf,year,month
32,2022-02-28,42004578174.29,2022,2
32,2022-03-31,42592856306.63,2022,3
32,2022-04-30,43165201581.02,2022,4
32,2022-05-31,43777671445.18,2022,5
32,2022-06-30,44419314768.18,2022,6
32,2022-07-31,45005401065.54,2022,7
32,2022-08-31,45732296531.92,2022,8
32,2022-09-30,46313433533.22,2022,9
32,2022-10-31,47004606123.76,2022,10
32,2022-11-30,47926565181.89,2022,11
32,2022-12-31,48460713011.6,2022,12
32,2023-01-31,49248960583.97,2023,1
32,2023-02-28,49470320850.71,2023,2
32,2023-03-31,50109563827.61,2023,3
32,2023-04-30,50379584299.91,2023,4
32,2023-05-31,50974413947.02,2023,5
32,2023-06-30,51044409985.92,2023,6
32,2023-07-31,51545928058.87,2023,7
32,2023-08-31,52253824696.88,2023,8
32,2023-09-30,52731141039.46,2023,9
32,2023-10-31,53413859727.79,2023,10
32,2023-11-30,54376150510.38,2023,11
32,2023-12-31,54979574411.01,2023,12
33,2022-01-31,201712637345.16,2022,1
33,2022-02-28,203094908554.49,2022,2
33,2022-03-31,206146800749.56,2022,3
33,2022-04-30,208842676353.18,2022,4
33,2022-05-31,211873364493.03,2022,5
33,2022-06-30,213303078841.32,2022,6
33,2022-07-31,215230870147.62,2022,7
33,2022-08-31,217777023573.43,2022,8
33,2022-09-30,219202254639.6,2022,9
33,2022-10-31,221753101565.49,2022,10
33,2022-11-30,224341661697.51,2022,11
33,2022-12-31,225862840197.49,2022,12
33,2023-01-31,227352976274.9,2023,1
33,2023-02-28,227014845489.06,2023,2
33,2023-03-31,228836100860.26,2023,3
33,2023-04-30,228902385594.48,2023,4
33,2023-05-31,230447957692.93,2023,5
33,2023-06-30,229186724652.88,2023,6
33,2023-07-31,229797241515.69,2023,7
33,2023-08-31,230963744988.42,2023,8
33,2023-09-30,231205045535.3,2023,9
33,2023-10-31,232882281785.2,2023,10
33,2023-11-30,235594385389.33,2023,11
33,2023-12-31,236926603280.77,2023,12
35,2022-01-31,744119343492.72,2022,1
35,2022-02-28,748952228445.3,2022,2
35,2022-03-31,760486932335.22,2022,3
35,2022-04-30,770990971595.41,2022,4
35,2022-05-31,781975839479.76,2022,5
35,2022-06-30,791600151864.41,2022,6
35,2022-07-31,802873596388.78,2022,7
35,2022-08-31,814727667388.36,2022,8
35,2022-09-30,824451906346.79,2022,9
35,2022-10-31,836741306613.61,2022,10
35,2022-11-30,847683799167.03,2022,11
35,2022-12-31,855669020384.01,2022,12
35,2023-01-31,864216599026.26,2023,1
35,2023-02-28,866466985685.83,2023,2
35,2023-03-31,876346188412.4,2023,3
35,2023-04-30,879999599472.51,2023,4
35,2023-05-31,888645401274.68,2023,5
35,2023-06-30,889067043371.22,2023,6
35,2023-07-31,896334291335.64,2023,7
35,2023-08-31,905808777319.51,2023,8
35,2023-09-30,912010665484.66,2023,9
35,2023-10-31,922312666590.82,2023,10
35,2023-11-30,934434771925.29,2023,11
35,2023-12-31,942226500258.82,2023,12
41,2022-01-31,212477550135.59,2022,1
41,2022-02-28,214547814850.83,2022,2
41,2022-03-31,217070754768.41,2022,3
41,2022-04-30,218605324607.45,2022,4
41,2022-05-31,219931396474.25,2022,5
41,2022-06-30,222664458279.63,2022,6
41,2022-07-31,226464192579.6,2022,7
41,2022-08-31,233194248726.79,2022,8
41,2022-09-30,237766699837.54,2022,9
41,2022-10-31,241321297884.66,2022,10
41,2022-11-30,245187976054.55,2022,11
41,2022-12-31,248911249861.23,2022,12
41,2023-01-31,252445493854.17,2023,1
41,2023-02-28,254333403324.88,2023,2
41,2023-03-31,256737533283.23,2023,3
41,2023-04-30,255442347733.84,2023,4
41,2023-05-31,255023158672.27,2023,5
41,2023-06-30,254287111175.92,2023,6
41,2023-07-31,257042341556.59,2023,7
41,2023-08-31,262005699263.1,2023,8
41,2023-09-30,264791385554.22,2023,9
41,2023-10-31,267777741655.77,2023,10
41,2023-11-30,271827600802.02,2023,11
41,2023-12-31,275300838703.8,2023,12
42,2022-01-31,134561074577.55,2022,1
42,2022-02-28,135277051099.2,2022,2
42,2022-03-31,137219737855.91,2022,3
42,2022-04-30,138411622502.09,2022,4
42,2022-05-31,139893518266.91,2022,5
42,2022-06-30,141152240236.42,2022,6
42,2022-07-31,142850753404.83,2022,7
42,2022-08-31,146016925070.86,2022,8
42,2022-09-30,148404277128.48,2022,9
42,2022-10-31,150929412853.38,2022,10
42,2022-11-30,153252513710.66,2022,11
42,2022-12-31,154808587599.13,2022,12
42,2023-01-31,157475660247.28,2023,1
42,2023-02-28,158104132019.9,2023,2
42,2023-03-31,159903144234.63,2023,3
42,2023-04-30,160402797958.24,2023,4
42,2023-05-31,161476924506.88,2023,5
42,2023-06-30,161323106251.78,2023,6
42,2023-07-31,162567234238.83,2023,7
42,2023-08-31,165173932362.81,2023,8
42,2023-09-30,166857607648.14,2023,9
42,2023-10-31,169174418838.74,2023,10
42,2023-11-30,171899914889.7,2023,11
42,2023-12-31,173654639672.68,2023,12
43,2022-01-31,204372042014.43,2022,1
43,2022-02-28,205480644401.06,2022,2
43,2022-03-31,208422990365.35,2022,3
43,2022-04-30,210867262101.58,2022,4
43,2022-05-31,212281763374.9,2022,5
43,2022-06-30,213288469516.83,2022,6
43,2022-07-31,216134023681.52,2022,7
43,2022-08-31,224838878367.78,2022,8
43,2022-09-30,231012624291.01,2022,9
43,2022-10-31,235768033214.5,2022,10
43,2022-11-30,239818475731.68,2022,11
43,2022-12-31,242735535752.41,2022,12
43,2023-01-31,243342077010.94,2023,1
43,2023-02-28,244214960090.47,2023,2
43,2023-03-31,247482061752.55,2023,3
43,2023-04-30,248246537980.38,2023,4
43,2023-05-31,249285880688.91,2023,5
43,2023-06-30,246334516825.26,2023,6
43,2023-07-31,246159882517.92,2023,7
43,2023-08-31,252977552625.29,2023,8
43,2023-09-30,256253724449.55,2023,9
43,2023-10-31,260736583038.55,2023,10
43,2023-11-30,264667767261.29,2023,11
43,2023-12-31,267957266169.03,2023,12
50,2022-01-31,63366471735.46,2022,1
50,2022-02-28,64081627702.18,2022,2
50,2022-03-31,64971393485.97,2022,3
50,2022-04-30,65557251264.84,2022,4
50,2022-05-31,65915335704.97,2022,5
50,2022-06-30,67085897883.11,2022,6
50,2022-07-31,68449147038.19,2022,7
50,2022-08-31,70472645269.86,2022,8
50,2022-09-30,71970071063.21,2022,9
50,2022-10-31,72836057056.8,2022,10
50,2022-11-30,73939976410.26,2022,11
50,2022-12-31,75024312924.99,2022,12
50,2023-01-31,76142186718.61,2023,1
50,2023-02-28,77012877495.35,2023,2
50,2023-03-31,78223205785.89,2023,3
50,2023-04-30,77998340990.63,2023,4
50,2023-05-31,78461047425.0,2023,5
50,2023-06-30,78070234098.48,2023,6
50,2023-07-31,78907893109.32,2023,7
50,2023-08-31,80800221642.61,2023,8
50,2023-09-30,81717317497.9,2023,9
50,2023-10-31,82550912519.5,2023,10
50,2023-11-30,83884158834.75,2023,11
50,2023-12-31,84809525515.0,2023,12
51,2022-01-31,103397166494.97,2022,1
51,2022-02-28,103952191272.54,2022,2
51,2022-03-31,104274064391.11,2022,3
51,2022-04-30,104475299560.64,2022,4
51,2022-05-31,105275209135.08,2022,5
51,2022-06-30,108983881809.01,2022,6
51,2022-07-31,111644025901.18,2022,7
51,2022-08-31,114408252411.78,2022,8
51,2022-09-30,117015434407.71,2022,9
51,2022-10-31,118916786101.56999,2022,10
51,2022-11-30,120817428196.55,2022,11
51,2022-12-31,123053404489.59,2022,12
51,2023-01-31,124800000192.37,2023,1
51,2023-02-28,126123661690.0,2023,2
