dataset,response_label,group,model_series,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,WH2M,cW,39,-0.0124027868827644,-0.0434791973617476,0.0186736235962187,0.0093626043928953,-0.0077058301129051,-0.10658010431094853,-0.09417731742818412,False,True
lp_controls,consumption,WH2M,cW,40,-0.0102106805497061,-0.0509734857787339,0.0305521246793215,0.0093626043928953,-0.0077535446421383,-0.10724004872035169,-0.09702936817064559,False,True
lp_controls,consumption,WH2M,cW,41,-0.0179581347523353,-0.0565771491120629,0.0206608796073923,0.0093626043928953,-0.0077994921022048,-0.1078755526199912,-0.08991741786765589,False,True
lp_controls,consumption,WH2M,cW,42,-0.0209167815487646,-0.0542490350193312,0.0124154719218019,0.0093626043928953,-0.0078437857734337,-0.10848818280138915,-0.08757140125262455,False,True
lp_controls,consumption,WH2M,cW,43,-0.0101545223238003,-0.0375498167309117,0.0172407720833109,0.0093626043928953,-0.0078866341407309,-0.10908082284005823,-0.09892630051625792,False,True
lp_controls,consumption,WH2M,cW,44,-0.0181139070348538,-0.0468291737000308,0.0106013596303231,0.0093626043928953,-0.0079285090742846,-0.10965999921960144,-0.09154609218474764,False,True
lp_controls,consumption,WH2M,cW,45,-0.0181277519069818,-0.0503517492038565,0.0140962453898928,0.0093626043928953,-0.0079704387263714,-0.1102399324166296,-0.09211218050964781,False,True
lp_controls,consumption,WH2M,cW,46,-0.0023606280971657,-0.0273766446087462,0.0226553884144146,0.0093626043928953,-0.0080140136420877,-0.11084262141889638,-0.10848199332173068,False,True
lp_controls,consumption,WH2M,cW,47,-0.0030097904791026,-0.028014632932125,0.0219950519739198,0.0093626043928953,-0.0080571297688295,-0.11143896486513058,-0.10842917438602798,False,True
lp_income,income,PH2M,cP,0,-0.0160633151498368,-0.0321902686421612,6.36383424876653e-05,0.0078032329793046,-0.0027441165378656,-0.03163276555920014,-0.015569450409363337,True,True
lp_income,income,PH2M,cP,1,-0.0125601717422333,-0.0279032222800165,0.0027828787955498,0.0078032329793046,-0.0017403999107692,-0.020062435977823378,-0.0075022642355900785,True,True
lp_income,income,PH2M,cP,2,0.0073852675265257,-0.007831996530973,0.0226025315840245,0.0078032329793046,-0.0019912194728009,-0.02295375502128545,-0.030339022547811147,False,False
lp_income,income,PH2M,cP,3,-0.0039592427720342,-0.0151380564516605,0.007219570907592,0.0078032329793046,-0.0019135349846159,-0.02205824815470976,-0.01809900538267556,False,True
lp_income,income,PH2M,cP,4,-0.0016190290626198,-0.0104241920283681,0.0071861339031285,0.0078032329793046,-0.0019226820733485,-0.022163691093970858,-0.02054466203135106,False,True
lp_income,income,PH2M,cP,5,0.002699952753122,-0.0093358092792705,0.0147357147855145,0.0078032329793046,-0.0019096467114325,-0.022013426139192778,-0.02471337889231478,False,False
lp_income,income,PH2M,cP,6,-0.0148595738749748,-0.0257343296524696,-0.0039848180974799,0.0078032329793046,-0.0019030002380971,-0.021936809009448822,-0.007077235134474022,True,True
lp_income,income,PH2M,cP,7,-0.0176408810340193,-0.0364964785201555,0.0012147164521167,0.0078032329793046,-0.0018952148686264,-0.02184706327020629,-0.004206182236186993,True,True
lp_income,income,PH2M,cP,8,-0.0239742016613012,-0.0361879510581999,-0.0117604522644025,0.0078032329793046,-0.0018882364781689,-0.021766619970413216,0.0022075816908879824,True,True
