horizon,agent_type,estimate,conf_low,conf_high,uf_code,region
16,WH2M,-8.483150507745375,-25.68756491649888,8.721263901008129,41,South
17,Ricardian,-7.6464748787571075,-18.182356667766648,2.8894069102524327,41,South
17,PH2M,0.008062097725391126,-10.930270810113704,10.946395005564487,41,South
17,WH2M,-7.620074030676308,-20.66894057454356,5.428792513190942,41,South
18,Ricardian,-11.942902654069783,-18.303156295637137,-5.582649012502428,41,South
18,PH2M,-3.7755579294793975,-10.245493884642302,2.6943780256835073,41,South
18,WH2M,-8.05875578251148,-16.44205980521886,0.3245482401959041,41,South
19,Ricardian,-27.79576108558106,-31.61499276112608,-23.97652941003604,41,South
19,PH2M,-19.027486761702235,-23.01416330351386,-15.04081021989061,41,South
19,WH2M,-8.633979437771082,-13.582282115116943,-3.6856767604252196,41,South
20,Ricardian,-11.741609301008976,-17.071240409372614,-6.411978192645337,41,South
20,PH2M,-5.07311260259438,-10.613418403492716,0.46719319830395545,41,South
20,WH2M,-6.563949205091698,-13.157927790619482,0.030029380436085162,41,South
21,Ricardian,2.421411330406597,-3.068431836300661,7.911254497113855,41,South
21,PH2M,0.1760349983237628,-5.753281922807895,6.105351919455421,41,South
21,WH2M,2.286915087526509,-4.2792068902733265,8.853037065326344,41,South
22,Ricardian,2.678078986081239,-10.492684905521449,15.848842877683927,41,South
22,PH2M,-0.8755050839759031,-15.146238822354807,13.395228654403002,41,South
22,WH2M,3.5649394324073977,-11.752829359048341,18.882708223863137,41,South
23,Ricardian,7.479452099388968,-10.155077378104178,25.113981576882114,41,South
23,PH2M,-0.222711324197304,-19.311391816549758,18.865969168155146,41,South
23,WH2M,7.608788017071298,-12.89282734595982,28.110403380102415,41,South
24,Ricardian,14.335818434972197,2.4092611510370734,26.26237571890732,41,South
24,PH2M,7.763883521973138,-4.960341931257981,20.488108975204256,41,South
24,WH2M,6.475772071753595,-7.655771372308336,20.607315515815525,41,South
0,Ricardian,-0.33846111124993383,-7.659618458796844,6.982696236296976,42,South
0,PH2M,-3.554366923653994,-12.927987889089668,5.819254041781679,42,South
0,WH2M,3.120597106038206,-7.2343942939135975,13.47558850599001,42,South
1,Ricardian,9.565315206206604,-1.3162896763799576,20.446920088793163,42,South
1,PH2M,1.4822233122848711,-10.684138809350868,13.64858543392061,42,South
1,WH2M,7.862350503370912,-7.212724959213446,22.93742596595527,42,South
2,Ricardian,11.978160223549212,-7.077157060489556,31.033477507587982,42,South
2,PH2M,0.18431106951946852,-19.838615009099634,20.207237148138567,42,South
2,WH2M,11.544446542641227,-14.332866992105869,37.42176007738832,42,South
3,Ricardian,17.885940514506636,4.909251640393359,30.862629388619915,42,South
3,PH2M,7.370005879881258,-7.647020426656104,22.387032186418622,42,South
3,WH2M,10.158080036273788,-7.513241905780841,27.829401978328416,42,South
4,Ricardian,10.255214725304874,-3.388160070263673,23.898589520873422,42,South
4,PH2M,12.960377601508933,-3.373812658285244,29.294567861303108,42,South
4,WH2M,-3.0195048878295587,-24.04347416001797,18.00446438435885,42,South
5,Ricardian,13.56537276831913,6.107262071984633,21.023483464653626,42,South
5,PH2M,10.535589844281509,-3.4567406837517094,24.527920372314725,42,South
5,WH2M,2.713512821802132,-8.382699103198014,13.809724746802278,42,South
6,Ricardian,8.888373563894945,2.0754082557041293,15.70133887208576,42,South
6,PH2M,9.740842751357675,-1.8092104900536121,21.290895992768963,42,South
6,WH2M,-1.1773284470866763,-10.304214562687543,7.94955766851419,42,South
7,Ricardian,-11.553507165351997,-19.46714700988811,-3.6398673208158847,42,South
7,PH2M,-10.602815006723972,-23.908764809344582,2.703134795896638,42,South
7,WH2M,-0.9070201763827317,-12.246578127946083,10.43253777518062,42,South
8,Ricardian,-17.423367575943907,-21.565846496125314,-13.2808886557625,42,South
8,PH2M,-9.008248227018736,-14.63783142926561,-3.3786650247718626,42,South
8,WH2M,-8.342202241443252,-14.332516464406952,-2.351888018479551,42,South
9,Ricardian,-18.486084100091837,-22.2304396585997,-14.741728541583974,42,South
9,PH2M,-10.505565376142822,-15.939619877276915,-5.071510875008731,42,South
9,WH2M,-7.876594350668491,-13.296483107123889,-2.4567055942130924,42,South
10,Ricardian,-1.5167081233963415,-3.4595556106246077,0.4261393638319244,42,South
10,PH2M,-6.855101446994622,-9.565519176403075,-4.14468371758617,42,South
10,WH2M,5.455136048881632,2.0234614212007593,8.886810676562504,42,South
11,Ricardian,-2.7826887683220534,-7.376073670034683,1.810696133390576,42,South
11,PH2M,-2.866404447743437,-7.9263991173521084,2.193590221865234,42,South
11,WH2M,0.15873400254681425,-6.781330221771052,7.09879822686468,42,South
12,Ricardian,-1.8357316196086089,-5.17392626430592,1.5024630250887023,42,South
12,PH2M,-7.601093610777445,-11.405290371606405,-3.796896849948486,42,South
12,WH2M,5.775574179009286,0.4919991804445196,11.059149177574053,42,South
13,Ricardian,1.7520971418251037,-2.7819176099463547,6.286111893596562,42,South
13,PH2M,-2.717395733745592,-8.975850338528762,3.5410588710375777,42,South
13,WH2M,4.363310672551019,-4.260917341502005,12.987538686604044,42,South
14,Ricardian,-5.097097609328573,-6.940624731569389,-3.2535704870877575,42,South
14,PH2M,-9.864974545530774,-12.86356432800977,-6.866384763051778,42,South
14,WH2M,4.680107464494261,1.2082077161607505,8.152007212827773,42,South
15,Ricardian,8.812259112877053,7.002355182088346,10.62216304366576,42,South
15,PH2M,2.1054959403823847,-1.7286580141824794,5.939649894947249,42,South
15,WH2M,6.444213255191503,2.3560947277633124,10.532331782619693,42,South
16,Ricardian,-4.126747054764497,-6.146379360984607,-2.107114748544386,42,South
16,PH2M,6.6035972728257235,0.594762597857124,12.612431947794324,42,South
16,WH2M,-10.826074667065082,-15.80577700423047,-5.846372329899696,42,South
17,Ricardian,5.2856078959168435,2.2025968043426376,8.36861898749105,42,South
17,PH2M,11.281952119465508,4.823728916004446,17.74017532292657,42,South
17,WH2M,-6.144900514154118,-10.836891053559846,-1.4529099747483913,42,South
18,Ricardian,-5.57480037988098,-7.061641431170205,-4.087959328591754,42,South
18,PH2M,3.9419015835470805,-0.1452620460072911,8.029065213101452,42,South
18,WH2M,-9.601146264746042,-13.313965031876236,-5.888327497615848,42,South
19,Ricardian,-5.098131550091232,-7.1814272258579095,-3.0148358743245542,42,South
19,PH2M,1.9972722852610465,-1.0784924013623254,5.073036971884418,42,South
19,WH2M,-7.115161938664225,-9.827372842573826,-4.402951034754624,42,South
20,Ricardian,-14.238654984681858,-16.056981732964726,-12.42032823639899,42,South
20,PH2M,-10.743904410158589,-12.861469894372181,-8.626338925944996,42,South
20,WH2M,-3.37412259847134,-5.9086505149132895,-0.8395946820293902,42,South
21,Ricardian,-7.744639407976834,-8.762929706132336,-6.726349109821332,42,South
21,PH2M,-5.384886917727415,-7.12249697280507,-3.6472768626497594,42,South
21,WH2M,-2.3111759874219464,-3.89247519585169,-0.7298767789922027,42,South
22,Ricardian,-3.371238712463793,-4.949806242539168,-1.792671182388418,42,South
22,PH2M,-7.123452949088943,-9.26037292625853,-4.986532971919356,42,South
22,WH2M,3.766202437685175,2.00698369601825,5.5254211793521,42,South
23,Ricardian,5.501694493594311,4.1172532491153175,6.886135738073304,42,South
23,PH2M,3.1877913171689296,1.1134252729933438,5.262157361344515,42,South
23,WH2M,2.263000128738681,-0.22189694115879544,4.747897198636157,42,South
24,Ricardian,6.594794773245809,5.379584958572412,7.810004587919206,42,South
24,PH2M,-0.6544717695155642,-2.27954838567237,0.9706048466412418,42,South
24,WH2M,7.105015020627408,4.878992438452429,9.331037602802386,42,South
0,Ricardian,8.446460660232422,-7.166442319949352,24.059363640414198,43,South
0,PH2M,171.82303138042042,132.50543403229014,211.1406287285507,43,South
0,WH2M,-165.2573339997584,-216.72522552263842,-113.78944247687838,43,South
1,Ricardian,8.761432090293205,-7.642930184830213,25.165794365416623,43,South
1,PH2M,99.1026599762337,40.54551624811041,157.659803704357,43,South
1,WH2M,-91.42101131641863,-161.63242395552578,-21.20959867731149,43,South
2,Ricardian,3.1306909728088144,-29.55272907763895,35.81411102325658,43,South
2,PH2M,131.46409384327538,50.81492032508814,212.11326736146262,43,South
2,WH2M,-129.8241469622562,-235.8207003795519,-23.827593544960493,43,South
3,Ricardian,15.218879729124662,10.473433952450875,19.96432550579845,43,South
3,PH2M,123.34730800969234,71.0792971704412,175.6153188489435,43,South
3,WH2M,-109.4372856759025,-165.5438762073516,-53.330695144453415,43,South
4,Ricardian,-8.24265312112646,-22.175476900153647,5.690170657900724,43,South
4,PH2M,43.89798757687943,-21.50102391426745,109.29699906802631,43,South
4,WH2M,-52.76026436844634,-127.60348135531518,22.082952618422496,43,South
5,Ricardian,-13.32347608581182,-28.93785472187404,2.2909025502504026,43,South
5,PH2M,28.130522997580123,-23.147526470825177,79.40857246598543,43,South
5,WH2M,-41.977023667073226,-100.41267162567027,16.458624291523826,43,South
6,Ricardian,-12.794777311737251,-27.653325930257417,2.0637713067829146,43,South
6,PH2M,-22.75515005899984,-71.45169677991586,25.941396661916187,43,South
