region,horizon,coefficient,estimate,std_error,conf_low,conf_high
Northeast,8,wh2m_diff,-6.143037066318695,3.8319135063322785,-13.680763327225916,1.3946891945885262
Northeast,9,ricardian,1.0326249670152539,0.6856319181102402,-0.31621190203282223,2.38146183606333
Northeast,9,ph2m_diff,-0.2829756081419388,4.90638415851973,-9.935256477686817,9.369305261402939
Northeast,9,wh2m_diff,-4.0869239514704825,3.5106198185548427,-10.993331485018643,2.8194835820776794
Northeast,10,ricardian,0.13769908741961953,0.6263721578886127,-1.094687831831013,1.370086006670252
Northeast,10,ph2m_diff,5.186935289837842,6.153162462534792,-6.919408894445618,17.293279474121302
Northeast,10,wh2m_diff,-5.405556720846259,4.755679303952424,-14.762353463054186,3.9512400213616674
Northeast,11,ricardian,0.48907356067128616,0.5673495728031299,-0.627312271559356,1.6054593929019283
Northeast,11,ph2m_diff,1.2585399859504967,3.542345015246208,-5.711807710540953,8.228887682441947
Northeast,11,wh2m_diff,-3.2638230279558895,3.575368058872883,-10.299150870391236,3.7715048144794565
Northeast,12,ricardian,1.300257400301505,0.5097058764332766,0.29717840437497434,2.303336396228036
Northeast,12,ph2m_diff,-11.465938196072361,3.006666638475198,-17.38292737012655,-5.548949022018174
Northeast,12,wh2m_diff,5.031245965597632,1.5716431618585238,1.9383205793269163,8.124171351868348
Northeast,13,ricardian,0.7019271411100034,0.560420691451126,-0.40109647039400476,1.8049507526140116
Northeast,13,ph2m_diff,-0.7093803761314593,3.5906106528687634,-7.776443370498904,6.357682618235985
Northeast,13,wh2m_diff,-2.562547079350444,3.5978805829545735,-9.643918796898447,4.518824638197559
Northeast,14,ricardian,0.5106992145559899,0.19485195205632624,0.12713850541303562,0.8942599236989441
Northeast,14,ph2m_diff,-3.377013684521636,4.205697443074639,-11.65581344342836,4.901786074385088
Northeast,14,wh2m_diff,0.8092860738323434,3.27775975664398,-5.642893867866035,7.261466015530721
Northeast,15,ricardian,0.36662162067524107,0.25461081581218165,-0.13464503052267907,0.8678882718731612
Northeast,15,ph2m_diff,-3.355346821219851,4.21471079585189,-11.653085311492259,4.942391669052555
Northeast,15,wh2m_diff,1.5557358846512244,3.703493999537376,-5.73554131014449,8.847013079446938
Northeast,16,ricardian,-0.4751695511409804,0.42276212578579864,-1.3076134221620148,0.3572743198800539
Northeast,16,ph2m_diff,0.4172116199361633,2.418940234164185,-4.345826148769756,5.180249388642082
Northeast,16,wh2m_diff,1.3627178670007798,3.184212660846766,-4.907187008282424,7.632622742283983
Northeast,17,ricardian,0.2284218126367808,0.35486624667436556,-0.47044638109451503,0.9272900063680767
Northeast,17,ph2m_diff,-0.5354928143110712,2.9654291305052864,-6.3755638819213,5.304578253299157
Northeast,17,wh2m_diff,-0.5917564797335124,1.8913220844198817,-4.316497452676865,3.1329844932098405
Northeast,18,ricardian,0.5931160232891567,0.44117693029862864,-0.275885172926434,1.4621172195047474
Northeast,18,ph2m_diff,-2.226263125441443,3.9291046387462814,-9.965554091575077,5.513027840692192
Northeast,18,wh2m_diff,-0.3381274475390167,2.546656037252801,-5.3543624107415315,4.678107515663498
Northeast,19,ricardian,0.6295356687230493,0.37185614778967807,-0.1030618697536505,1.3621332071997492
Northeast,19,ph2m_diff,-9.394261540322491,6.412521965575999,-22.027635589219003,3.2391125085740224
Northeast,19,wh2m_diff,6.037996249497976,4.868655470773532,-3.5537908831896097,15.629783382185561
Northeast,20,ricardian,-0.4480885505565657,0.7979111488650513,-2.0203854296131305,1.124208328499999
Northeast,20,ph2m_diff,-4.409836682769154,3.265823860246577,-10.845195645127253,2.0255222795889445
Northeast,20,wh2m_diff,5.989046170281117,3.117909878383707,-0.15484588829625512,12.132938228858489
Northeast,21,ricardian,-0.7411695760890991,0.8521426399022929,-2.420705481152565,0.9383663289743669
Northeast,21,ph2m_diff,2.0931211100439064,3.1263750429730433,-4.068827478715399,8.255069698803212
Northeast,21,wh2m_diff,1.4667466845566788,2.8352082602452455,-4.121324899280984,7.0548182683943415
Northeast,22,ricardian,-0.8279378819214468,0.8985206193606101,-2.5993125723240267,0.943436808481133
Northeast,22,ph2m_diff,-5.546577951832346,5.380378498254359,-16.153642599248077,5.060486695583383
Northeast,22,wh2m_diff,8.599263404350193,4.567841342936377,-0.40593733373622065,17.604464142436605
Northeast,23,ricardian,-1.038522025566243,1.1538125960303083,-3.3137903251483145,1.2367462740158282
Northeast,23,ph2m_diff,3.9429772367430282,6.725299501331324,-9.31902112696033,17.204975600446385
Northeast,23,wh2m_diff,1.084495761473547,3.6492501383509586,-6.111666930459243,8.280658453406337
Northeast,24,ricardian,-0.7322299138264688,0.8097210232743636,-2.3294274517940963,0.8649676241411585
Northeast,24,ph2m_diff,-0.1894535081404711,4.833934855602326,-9.72452624077453,9.34561922449359
Northeast,24,wh2m_diff,3.524502942704769,2.9587792115015326,-2.3117724363016428,9.36077832171118
Southeast,0,ricardian,1.2564049248316032,1.1608120737503518,-1.0344976203791503,3.5473074700423566
Southeast,0,ph2m_diff,-6.245626977342216,6.297680940004964,-18.674316875243314,6.183062920558884
Southeast,0,wh2m_diff,-0.4807646738450397,0.3589628647520798,-1.1891902313427645,0.22766088365268516
Southeast,1,ricardian,0.921937365203242,2.593407736930991,-4.197066122721833,6.040940853128316
Southeast,1,ph2m_diff,-1.1268641272608313,14.697412845140642,-30.137384357598116,27.883656103076454
Southeast,1,wh2m_diff,-2.8205702723288537,3.3409831185860313,-9.415177049194414,3.7740365045367064
Southeast,2,ricardian,-1.8650358880039262,2.51636187587721,-6.8328002389183515,3.102728462910499
Southeast,2,ph2m_diff,14.247102727773617,13.62910325814067,-12.659271093010931,41.15347654855817
