level,frequency,group,outcome,horizon,n_obs,estimate,std_error,ci_low,ci_high,p_value,shock_sd,irf_pos_1sd,irf_neg_1sd,inference,model_id
state,quarterly,27,consumption_index,2,21,-0.14171665119013815,0.10191617327045009,-0.3414723508002203,0.058039048419944034,0.16437051251718637,0.1134395615862862,-0.016076274780485917,0.016076274780485917,newey-west,state_27_consumption_index
state,quarterly,28,consumption_index,2,21,-0.07840331378074107,0.053197777573433344,-0.1826709578246704,0.02586433026318828,0.14053327545763494,0.1134395615862862,-0.008894037542199298,0.008894037542199298,newey-west,state_28_consumption_index
state,quarterly,29,consumption_index,2,21,-0.03511017385059479,0.09576445641666673,-0.22280850842726158,0.152588160726072,0.7138946286181302,0.1134395615862862,-0.003982882728829763,0.003982882728829763,newey-west,state_29_consumption_index
state,quarterly,31,consumption_index,2,21,-0.10409936745113721,0.06028359479035603,-0.22225521324023503,0.014056478337960615,0.08419865353880707,0.1134395615862862,-0.011808986605066716,0.011808986605066716,newey-west,state_31_consumption_index
state,quarterly,32,consumption_index,2,21,-0.006552314441560382,0.10378653086190157,-0.20997391493088743,0.19686928604776668,0.9496609080918637,0.1134395615862862,-0.0007432916776261014,0.0007432916776261014,newey-west,state_32_consumption_index
state,quarterly,33,consumption_index,2,21,-0.03452431877093459,0.04467794682848195,-0.12209309455475922,0.05304445701289004,0.4396778303670139,0.1134395615862862,-0.003916423585440011,0.003916423585440011,newey-west,state_33_consumption_index
state,quarterly,35,consumption_index,2,21,0.004439135622766131,0.0430389306395754,-0.07991716843080165,0.08879543967633391,0.9178500090109794,0.1134395615862862,0.0005035735988686554,-0.0005035735988686554,newey-west,state_35_consumption_index
state,quarterly,41,consumption_index,2,21,-0.009828703609741911,0.03910885191660436,-0.08648205336628645,0.06682464614680264,0.8015693436481053,0.1134395615862862,-0.001114963828450671,0.001114963828450671,newey-west,state_41_consumption_index
state,quarterly,42,consumption_index,2,21,-0.07084721834370397,0.07761977930812891,-0.22298198578763664,0.0812875491002287,0.36137563469962286,0.1134395615862862,-0.008036877388517672,0.008036877388517672,newey-west,state_42_consumption_index
state,quarterly,43,consumption_index,2,21,0.016247119249825637,0.08666720620509001,-0.1536206049121508,0.18611484341180207,0.8512955978304022,0.1134395615862862,0.0018430660847403313,-0.0018430660847403313,newey-west,state_43_consumption_index
state,quarterly,50,consumption_index,2,21,-0.003983059375841279,0.062436038835266876,-0.12635769549296436,0.11839157674128178,0.9491340681792977,0.1134395615862862,-0.00045183650936758143,0.00045183650936758143,newey-west,state_50_consumption_index
state,quarterly,51,consumption_index,2,21,-0.07371656138454487,0.054459360094927814,-0.18045690717060336,0.03302378440151364,0.1758618490683017,0.1134395615862862,-0.008362374405111324,0.008362374405111324,newey-west,state_51_consumption_index
state,quarterly,52,consumption_index,2,21,0.0003703961090119612,0.07932395633611622,-0.15510455830977582,0.15584535052779974,0.996274363048975,0.1134395615862862,4.2017572219583147e-05,-4.2017572219583147e-05,newey-west,state_52_consumption_index
state,quarterly,53,consumption_index,2,21,-0.024082078470056167,0.05139367706855426,-0.12481368552442251,0.07664952858431018,0.6393694686094558,0.1134395615862862,-0.0027318604237297132,0.0027318604237297132,newey-west,state_53_consumption_index
state,quarterly,11,consumption_index,3,20,0.1453683979335694,0.1940406826402625,-0.23495134004134507,0.5256881359084838,0.4537580414704623,0.1134395615862862,0.016490527330084905,-0.016490527330084905,newey-west,state_11_consumption_index
state,quarterly,12,consumption_index,3,20,0.03675292625617407,0.1784902766229727,-0.31308801592485247,0.38659386843720056,0.836861242860357,0.1134395615862862,0.004169235841513494,-0.004169235841513494,newey-west,state_12_consumption_index
state,quarterly,13,consumption_index,3,20,0.27669055505589124,0.2028102270052285,-0.12081748987435659,0.6741985999861391,0.17247849848954733,0.1134395615862862,0.03138765526060649,-0.03138765526060649,newey-west,state_13_consumption_index
state,quarterly,14,consumption_index,3,20,0.0007884906848039386,0.08579391215056822,-0.16736757713030978,0.16894455849991766,0.9926671290361504,0.1134395615862862,8.944603759902937e-05,-8.944603759902937e-05,newey-west,state_14_consumption_index
state,quarterly,15,consumption_index,3,20,-0.0008595216281127027,0.1500237322522934,-0.29490603684260774,0.29318699358638234,0.9954287546731897,0.1134395615862862,-9.750375666703592e-05,9.750375666703592e-05,newey-west,state_15_consumption_index
state,quarterly,16,consumption_index,3,20,0.2793480798952966,0.2520542603342266,-0.2146782703597876,0.7733744301503808,0.2677385391200846,0.1134395615862862,0.03168912371329329,-0.03168912371329329,newey-west,state_16_consumption_index
state,quarterly,17,consumption_index,3,20,-0.008620031725767113,0.08055641690390739,-0.16651060885742558,0.14927054540589135,0.9147841037799445,0.1134395615862862,-0.0009778526198308993,0.0009778526198308993,newey-west,state_17_consumption_index
